,City,City Lat,City Long,Max Temp,Humidity,Cloud Coverage,Wind Speed,City Country,City Datetime
0,Bluff,-46.6,168.3333,53.01,88,100,4.0,NZ,1618367277
1,Port Elizabeth,-33.918,25.5701,66.2,94,90,10.36,ZA,1618367278
2,Rikitea,-23.1203,-134.9692,77.7,66,7,6.82,PF,1618367278
3,Zhigansk,66.7697,123.3711,19.54,87,100,21.0,RU,1618367279
4,Bandarbeyla,9.4942,50.8122,78.49,75,72,5.41,SO,1618367279
5,Mataura,-46.1927,168.8643,53.01,88,100,4.0,NZ,1618367280
6,New Norfolk,-42.7826,147.0587,64.99,73,87,5.99,AU,1618367280
7,Ushuaia,-54.8,-68.3,46.4,76,90,18.41,AR,1618367281
8,Caramay,10.1815,119.236,85.5,64,95,3.74,PH,1618367281
9,Shache,38.4167,77.2406,57.36,31,70,3.51,CN,1618367282
10,Buala,-8.145,159.5921,85.87,62,24,3.8,SB,1618367282
11,Kapaa,22.0752,-159.319,78.8,57,20,17.27,US,1618367204
12,Korla,41.7597,86.1469,57.85,28,0,2.95,CN,1618367283
13,Strathblane,55.986,-4.3066,34.0,93,8,1.14,GB,1618367283
14,Saskylakh,71.9167,114.0833,23.05,82,97,3.76,RU,1618367284
15,Port Alfred,-33.5906,26.891,69.31,89,66,7.52,ZA,1618367285
16,Mastung,29.7994,66.845,62.78,28,75,3.53,PK,1618367285
17,Arraial do Cabo,-22.9661,-42.0278,75.2,64,75,9.22,BR,1618367286
18,Albany,42.6001,-73.9662,57.99,82,99,2.71,US,1618367231
19,Port Hardy,50.6996,-127.4199,53.6,62,75,9.22,CA,1618367286
20,Udachny,66.4167,112.4,23.81,82,32,5.06,RU,1618367287
21,Kumul,42.8,93.45,56.79,17,0,4.45,CN,1618367287
22,Pevek,69.7008,170.3133,-1.01,83,83,1.32,RU,1618367287
23,Vila Franca do Campo,37.7167,-25.4333,60.8,94,75,10.36,PT,1618367288
24,Vaini,-21.2,-175.2,80.6,74,20,6.91,TO,1618367288
25,Lukovetskiy,64.2956,41.9211,42.8,75,20,6.71,RU,1618367288
26,Iqaluit,63.7506,-68.5145,12.2,79,20,31.07,CA,1618367289
27,Qaanaaq,77.484,-69.3632,-11.36,94,98,5.03,GL,1618367289
28,Sinnamary,5.3833,-52.95,77.76,87,45,9.13,GF,1618367290
29,Tutóia,-2.7619,-42.2744,78.19,89,100,11.83,BR,1618367290
30,Atuona,-9.8,-139.0333,81.05,72,100,16.73,PF,1618367291
31,Limbang,4.75,115.0,86.0,74,75,3.44,MY,1618367291
32,George Town,5.4112,100.3354,86.0,83,20,1.14,MY,1618367291
33,Mahabalipuram,12.6264,80.1722,82.4,78,40,2.3,IN,1618367292
34,São João da Barra,-21.6403,-41.0511,71.78,75,42,13.44,BR,1618367292
35,Los Llanos de Aridane,28.6585,-17.9182,68.0,77,0,5.75,ES,1618367293
36,Ponta do Sol,32.6667,-17.1,62.6,88,20,8.5,PT,1618367293
37,Vardø,70.3705,31.1107,31.24,64,100,7.76,NO,1618367294
38,East London,-33.0153,27.9116,71.01,78,61,4.47,ZA,1618367294
39,Talnakh,69.4865,88.3972,19.94,94,100,6.13,RU,1618367295
40,Boshnyakovo,49.6333,142.1667,27.73,65,100,19.44,RU,1618367296
41,Tiksi,71.6872,128.8694,21.38,75,90,8.12,RU,1618367297
42,Linxia Chengguanzhen,35.6003,103.2064,41.79,69,100,1.99,CN,1618367297
43,Klaksvík,62.2266,-6.589,39.2,93,75,1.14,FO,1618367298
44,Ormara,25.2088,64.6357,78.58,64,8,6.02,PK,1618367298
45,Santa Maria,-29.6842,-53.8069,62.6,94,0,8.05,BR,1618367299
46,Lebu,-37.6167,-73.65,57.27,94,26,9.28,CL,1618367299
47,Busselton,-33.65,115.3333,64.99,73,84,1.01,AU,1618367300
48,Khatanga,71.9667,102.5,23.29,92,100,13.73,RU,1618367300
49,Ugoofaaru,5.6667,73.0,83.08,68,84,3.27,MV,1618367301
50,Krasne,49.9145,24.6134,37.4,93,75,6.71,UA,1618367301
51,Upernavik,72.7868,-56.1549,4.17,96,100,9.46,GL,1618367302
52,Kenai,60.5544,-151.2583,46.4,70,75,10.36,US,1618367302
53,Jamestown,42.097,-79.2353,46.4,61,1,8.05,US,1618367303
54,Esperance,-33.8667,121.9,62.6,72,90,6.91,AU,1618367304
